2021-12-15_09:35:42.868,buy,SGX_CN_2112,16193,3,dir,1,info=,16186.2,
2021-12-15_09:35:42.873,buy,SGX_CN_2112,16193,6,dir,1,info=,16186.2,
2021-12-15_09:35:42.873,buy,SGX_CN_2112,16193,3,dir,1,info=,16186.2,
2021-12-15_09:35:42.873,buy,SGX_CN_2112,16193,4,dir,1,info=,16186.2,
2021-12-15_09:35:42.881,buy,SGX_CN_2112,16193,1,dir,1,info=,16186.2,
2021-12-15_09:35:42.881,buy,SGX_CN_2112,16193,5,dir,1,info=,16186.2,
2021-12-15_09:35:42.890,sell,IF2201,5047.6,1,dir,2,info=,5040.44,5048
2021-12-15_09:35:42.890,sell,IF2201,5047.6,1,dir,2,info=,5040.44,5048
2021-12-15_09:35:42.899,sell,IF2201,5047.6,1,dir,2,info=,5040.44,5048
2021-12-15_09:35:42.899,buy,IC2201,7295.6,1,dir,1,info=,7328.29,7296.8
2021-12-15_13:11:12.776,buy,SGX_CN_2112,16154,11,dir,1,info=,16134.9,
2021-12-15_13:11:12.777,buy,SGX_CN_2112,16154,19,dir,1,info=,16134.9,
2021-12-15_13:11:12.792,sell,IF2112,5030,1,dir,5,info=,
2021-12-15_13:11:12.793,sell,IF2112,5030,2,dir,5,info=,
2021-12-15_13:11:12.794,buy,IC2112,7343.2,1,dir,6,info=,
2021-12-15_13:20:03.079,buy,SGX_CN_2112,16134,1,dir,1,info=,16122.1,
2021-12-15_13:20:03.243,buy,SGX_CN_2112,16134,8,dir,1,info=,16121.7,
2021-12-15_13:20:03.244,buy,SGX_CN_2112,16134,2,dir,1,info=,16121.7,
2021-12-15_13:20:03.262,sell,IF2112,5023.4,1,dir,5,info=,
2021-12-15_13:20:03.264,buy,SGX_CN_2112,16134,19,dir,1,info=,16121.7,
2021-12-15_13:20:03.277,sell,IF2112,5023.4,1,dir,5,info=,
2021-12-15_13:20:03.277,sell,IF2112,5023.4,1,dir,5,info=,
2021-12-15_13:20:03.279,buy,IC2112,7339,1,dir,6,info=,
2021-12-15_13:26:13.206,buy,SGX_CN_2112,16138,9,dir,1,info=,16114.6,
2021-12-15_13:28:17.944,buy,SGX_CN_2112,16129,21,dir,1,info=,16114.4,
2021-12-15_13:28:17.970,sell,IF2201,5031,1,dir,2,info=,5019.57,5031
2021-12-15_13:28:17.971,sell,IF2201,5031,1,dir,2,info=,5019.57,5031
2021-12-15_13:28:17.971,sell,IF2201,5030.8,1,dir,2,info=,5019.57,5031
2021-12-15_13:28:17.972,buy,IC2201,7306,1,dir,1,info=,7340.83,7306
2021-12-15_14:40:13.603,buy,SGX_CN_2112,16137,30,dir,1,info=,16127.3,
2021-12-15_14:40:13.621,sell,IF2201,5023.2,2,dir,2,info=,5008.61,5023
2021-12-15_14:40:13.622,sell,IF2201,5023,1,dir,2,info=,5008.61,5023
2021-12-15_14:40:13.623,buy,IC2201,7288.8,1,dir,1,info=,7313.04,7289.4
2021-12-15_14:42:00.001,buy,SGX_CN_2112,16135,30,dir,1,info=,16125.6,
2021-12-15_14:42:00.020,sell,IF2201,5022.2,1,dir,2,info=,5007.13,5022
2021-12-15_14:42:00.021,sell,IF2201,5022,2,dir,2,info=,5007.13,5022
2021-12-15_14:42:00.022,buy,IC2201,7284,1,dir,1,info=,7308.47,7284.2
2021-12-16_09:49:19.551,buy,SGX_CN_2112,16038,30,dir,1,info=,16028.3,
2021-12-16_09:49:19.566,buy,IC2201,7311.4,1,dir,1,info=,7342.37,7311
2021-12-16_09:49:19.992,sell,IF2201,5007.8,1,dir,2,info=,4993.83,5008.4
2021-12-16_09:49:19.993,sell,IF2201,5007.8,1,dir,2,info=,4993.83,5008.4
2021-12-16_09:49:19.994,sell,IF2201,5007.8,1,dir,2,info=,4993.83,5008.4
2021-12-16_09:52:43.529,buy,SGX_CN_2112,16021,30,dir,1,info=,16012.1,
2021-12-16_09:52:43.547,sell,IF2201,5008.8,1,dir,2,info=,4992.64,5008.6
2021-12-16_09:52:43.547,sell,IF2201,5008.4,1,dir,2,info=,4992.64,5008.6
2021-12-16_09:52:43.548,sell,IF2201,5008,1,dir,2,info=,4992.64,5008.6
2021-12-16_09:52:43.548,buy,IC2201,7311.2,1,dir,1,info=,7337,7311.2
2021-12-16_11:11:02.954,buy,SGX_CN_2112,16097,5,dir,1,info=,16082.1,
2021-12-16_11:11:02.955,buy,SGX_CN_2112,16097,25,dir,1,info=,16082.1,
2021-12-16_11:11:02.980,sell,IF2201,5028.6,1,dir,2,info=,5009.35,5029
2021-12-16_11:11:02.981,buy,IC2201,7329.4,1,dir,1,info=,7347.56,7329.6
2021-12-16_11:11:03.347,sell,IF2201,5028.4,1,dir,2,info=,5009.35,5029
2021-12-16_11:11:03.414,sell,IF2201,5028.4,1,dir,2,info=,5009.35,5029
2021-12-17_09:37:01.184,buy,SGX_CN_2112,16136,1,dir,1,info=,16117,
2021-12-17_09:37:01.186,buy,SGX_CN_2112,16136,3,dir,1,info=,16117,
2021-12-17_09:37:01.205,buy,SGX_CN_2112,16136,1,dir,1,info=,16117,
2021-12-17_09:37:01.205,buy,SGX_CN_2112,16136,25,dir,1,info=,16117,
2021-12-17_09:37:01.231,buy,IC2201,7347.6,1,dir,1,info=,7381.36,7347.6
2021-12-17_09:37:01.574,sell,IF2201,5038.4,1,dir,2,info=,5019.98,5039
