IF2006.CFE,,,,,,
time,open,high,low,close,volume,oi
2020/6/2 13:49,3954.6,3956.4,3954.2,3956.4,373,84419
2020/6/2 13:50,3956.4,3956.8,3955.6,3955.8,229,84447
2020/6/2 13:51,3956.2,3956.6,3954,3954.6,199,84466
2020/6/2 13:52,3954.8,3954.8,3953.6,3954,167,84476
2020/6/2 13:53,3954,3954.6,3953.6,3954.6,119,84487
2020/6/2 13:54,3954.6,3955,3953.6,3954.4,144,84483
2020/6/2 13:55,3954.4,3956,3954.2,3955.6,135,84467
2020/6/2 13:56,3956,3956.8,3955.6,3956.2,205,84480
2020/6/2 13:57,3956.2,3956.4,3954.2,3955.8,174,84513
2020/6/2 13:58,3956,3957.6,3955,3957.2,252,84562
2020/6/2 13:59,3957.2,3958.8,3956.6,3958.6,473,84642
2020/6/2 14:00,3958.6,3959.6,3957,3957.4,488,84745
2020/6/2 14:01,3957.2,3957.6,3955.8,3957.2,169,84780
2020/6/2 14:02,3957.4,3959.6,3956.2,3959.4,276,84849
2020/6/2 14:03,3959.8,3959.8,3957.4,3959.8,197,84891
2020/6/2 14:04,3959.6,3961,3958.6,3961,311,84943
2020/6/2 14:05,3961.4,3963.8,3961.4,3963.6,746,85040
2020/6/2 14:06,3963.6,3964.4,3960.6,3961.6,551,85215
2020/6/2 14:07,3961.2,3961.8,3960,3960.4,238,85238
2020/6/2 14:08,3960.6,3962,3958.8,3959,350,85264
2020/6/2 14:09,3959.2,3960,3957.6,3958,216,85274
2020/6/2 14:10,3958,3959,3957,3958.2,218,85362
2020/6/2 14:11,3958.2,3959,3956.8,3956.8,213,85429
2020/6/2 14:12,3956.6,3958.6,3956.6,3957.2,168,85490
2020/6/2 14:13,3957.6,3958.2,3956.8,3958,196,85561
2020/6/2 14:14,3958,3958.2,3957.2,3958.2,160,85573
2020/6/2 14:15,3958.2,3958.2,3956.8,3956.8,192,85577
2020/6/2 14:16,3956.8,3958.6,3956.6,3958.6,235,85653
2020/6/2 14:17,3958.4,3959,3957.4,3958,245,85739
2020/6/2 14:18,3957.6,3958.2,3956.8,3957,107,85779
2020/6/2 14:19,3957,3957.6,3956,3957.6,166,85801
2020/6/2 14:20,3957.2,3957.4,3953,3955,598,85959
2020/6/2 14:21,3955.4,3957.4,3954.4,3954.8,331,86050
2020/6/2 14:22,3954.6,3955,3953.4,3954,481,86168
2020/6/2 14:23,3954,3954,3951,3951.2,516,86244
2020/6/2 14:24,3951.2,3952.2,3949.6,3951,489,86307
2020/6/2 14:25,3950.2,3950.4,3948.4,3948.8,586,86423
2020/6/2 14:26,3948.8,3950.2,3948.4,3949.8,375,86498
2020/6/2 14:27,3949.2,3950.2,3948.6,3949.4,248,86565
2020/6/2 14:28,3949.6,3951.2,3948.8,3951.2,245,86655
2020/6/2 14:29,3951.2,3951.4,3949.4,3949.8,181,86685
2020/6/2 14:30,3949.6,3950,3948.6,3949.6,318,86802
2020/6/2 14:31,3949,3950.6,3948.6,3948.8,224,86862
2020/6/2 14:32,3948.8,3951.8,3948.8,3951.4,273,86963
2020/6/2 14:33,3951,3953.4,3950.8,3953.2,217,87040
2020/6/2 14:34,3953.2,3954.6,3952.2,3954,206,87117
2020/6/2 14:35,3953.8,3955.4,3952.6,3955.4,253,87226
2020/6/2 14:36,3955.2,3956.4,3953.8,3954.4,264,87342
2020/6/2 14:37,3954.4,3955,3953.4,3953.6,159,87410
2020/6/2 14:38,3953.4,3955.4,3952.6,3953.6,171,87493
2020/6/2 14:39,3953.6,3953.8,3952.6,3953,141,87550
2020/6/2 14:40,3953.2,3953.6,3951.8,3951.8,175,87599
2020/6/2 14:41,3951.8,3953.8,3951.8,3953,196,87647
2020/6/2 14:42,3952.8,3953.4,3952.4,3952.4,103,87687
2020/6/2 14:43,3952.4,3953,3951.8,3952.2,149,87716
2020/6/2 14:44,3952.6,3953.6,3952.2,3952.6,113,87765
2020/6/2 14:45,3952.4,3952.8,3951.6,3951.8,248,87850
2020/6/2 14:46,3951.8,3952,3951,3951.2,210,87914
2020/6/2 14:47,3951,3951.6,3950.6,3950.6,220,87995
2020/6/2 14:48,3950.8,3951.2,3950.2,3951,193,88041
2020/6/2 14:49,3950.6,3951.4,3950.2,3950.6,204,88095
2020/6/2 14:50,3950.6,3952.4,3950,3952.4,273,88187
2020/6/2 14:51,3952.6,3952.8,3951.2,3951.2,189,88260
2020/6/2 14:52,3951,3951.2,3950.4,3950.4,157,88321
2020/6/2 14:53,3950.6,3950.8,3949,3949,392,88371
2020/6/2 14:54,3949.4,3951.4,3949,3950,359,88528
2020/6/2 14:55,3950.6,3951.2,3949.4,3950.8,637,88902
2020/6/2 14:56,3950.8,3952.2,3950.4,3952,336,89032
2020/6/2 14:57,3952.2,3953.2,3951.8,3952,480,89263
2020/6/2 14:58,3952.4,3953.8,3952,3953.8,458,89470
2020/6/2 14:59,3953.6,3955,3953.6,3955,716,89768
2020/6/2 15:00,3955,3955,3955,3955,1,89768
2020/6/3 9:30,3978,3982.6,3976.8,3978.2,1976,88945
2020/6/3 9:31,3978.4,3983.4,3977.6,3983.2,1122,88474
2020/6/3 9:32,3983,3983,3976.2,3977.4,946,88066
2020/6/3 9:33,3977.6,3977.6,3975,3975.2,643,87724
2020/6/3 9:34,3975.4,3977,3973.2,3977,539,87370
2020/6/3 9:35,3977.2,3981.4,3976.6,3981,714,87032
2020/6/3 9:36,3981.2,3984.2,3981,3983.2,796,86806
2020/6/3 9:37,3983,3983.2,3979.4,3980.4,617,86467
2020/6/3 9:38,3980.4,3983,3978.2,3981,517,86269
2020/6/3 9:39,3981,3982.4,3979.2,3980,416,86154
2020/6/3 9:40,3980,3980,3976.4,3977.4,620,85851
2020/6/3 9:41,3977.2,3981,3976.4,3979.8,372,85656
2020/6/3 9:42,3980,3982.8,3979.6,3982.8,379,85459
2020/6/3 9:43,3982.8,3987,3982.4,3986.8,886,85344
2020/6/3 9:44,3986.6,3989.6,3985.8,3988.6,710,85194
2020/6/3 9:45,3988.6,3994.8,3988.6,3994.6,1195,84993
2020/6/3 9:46,3994.6,3994.6,3991.4,3993.2,762,84767
2020/6/3 9:47,3993.4,3993.6,3990.8,3991.8,482,84629
2020/6/3 9:48,3992,3992.4,3989.2,3991.8,368,84530
2020/6/3 9:49,3991.4,3997.6,3991.2,3997.4,824,84402
2020/6/3 9:50,3997.8,3997.8,3990.4,3990.4,720,84160
2020/6/3 9:51,3990.6,3992,3988.8,3989.2,525,84036
2020/6/3 9:52,3989.6,3991,3988.8,3989.2,226,83968
2020/6/3 9:53,3989.2,3989.4,3985.2,3985.4,424,83847
2020/6/3 9:54,3985.2,3986.6,3981.4,3982.6,763,83719
2020/6/3 9:55,3982.2,3988.6,3981.8,3988.6,712,83666
2020/6/3 9:56,3988.6,3990.4,3987.4,3988,385,83697
2020/6/3 9:57,3988.2,3988.4,3985.8,3986,288,83660
2020/6/3 9:58,3985.8,3986,3984.2,3984.6,358,83614
2020/6/3 9:59,3984.8,3986.6,3984.2,3986.2,337,83517
2020/6/3 10:00,3985.6,3985.8,3981.8,3984.6,651,83396
2020/6/3 10:01,3984.6,3986.2,3983,3983.4,352,83290
2020/6/3 10:02,3983.6,3983.6,3981.2,3981.8,300,83270
2020/6/3 10:03,3981.6,3983.4,3980.4,3981.6,341,83243
